id	savebits	saveparambits	saveadd	valshift	name
0	8	0	32	0	strength
1	7	0	32	0	energy
2	7	0	32	0	dexterity
3	7	0	32	0	vitality
4	0	0	0	0	statpts
5	0	0	0	0	newskills
6	0	0	0	8	hitpoints
7	9	0	32	8	maxhp
8	0	0	0	8	mana
9	8	0	32	8	maxmana
10	0	0	0	8	stamina
11	8	0	32	8	maxstamina
12	0	0	0	0	level
13	0	0	0	0	experience
14	0	0	0	0	gold
15	0	0	0	0	goldbank
16	9	0	0	0	item_armor_percent
17	9	0	0	0	item_maxdamage_percent
18	9	0	0	0	item_mindamage_percent
19	10	0	0	0	tohit
20	6	0	0	0	toblock
21	6	0	0	0	mindamage
22	7	0	0	0	maxdamage
23	6	0	0	0	secondary_mindamage
24	7	0	0	0	secondary_maxdamage
25	8	0	0	0	damagepercent
26	8	0	0	0	manarecovery
27	8	0	0	0	manarecoverybonus
28	8	0	0	0	staminarecoverybonus
29	0	0	0	0	lastexp
30	0	0	0	0	nextexp
31	11	0	10	0	armorclass
32	9	0	0	0	armorclass_vs_missile
33	8	0	0	0	armorclass_vs_hth
34	6	0	0	0	normal_damage_reduction
35	6	0	0	0	magic_damage_reduction
36	8	0	0	0	damageresist
37	8	0	0	0	magicresist
38	5	0	0	0	maxmagicresist
39	8	0	50	0	fireresist
40	5	0	0	0	maxfireresist
41	8	0	50	0	lightresist
42	5	0	0	0	maxlightresist
43	8	0	50	0	coldresist
44	5	0	0	0	maxcoldresist
45	8	0	50	0	poisonresist
46	5	0	0	0	maxpoisonresist
47	0	0	0	0	damageaura
48	8	0	0	0	firemindam
49	9	0	0	0	firemaxdam
50	6	0	0	0	lightmindam
51	10	0	0	0	lightmaxdam
52	8	0	0	0	magicmindam
53	9	0	0	0	magicmaxdam
54	8	0	0	0	coldmindam
55	9	0	0	0	coldmaxdam
56	8	0	0	0	coldlength
57	10	0	0	0	poisonmindam
58	10	0	0	0	poisonmaxdam
59	9	0	0	0	poisonlength
60	7	0	0	0	lifedrainmindam
61	0	0	0	0	lifedrainmaxdam
62	7	0	0	0	manadrainmindam
63	0	0	0	0	manadrainmaxdam
64	0	0	0	0	stamdrainmindam
65	0	0	0	0	stamdrainmaxdam
66	0	0	0	0	stunlength
67	7	0	30	0	velocitypercent
68	7	0	30	0	attackrate
69	0	0	0	0	other_animrate
70	0	0	0	0	quantity
71	8	0	100	0	value
72	9	0	0	0	durability
73	8	0	0	0	maxdurability
74	6	0	30	0	hpregen
75	7	0	20	0	item_maxdurability_percent
76	6	0	10	0	item_maxhp_percent
77	6	0	10	0	item_maxmana_percent
78	7	0	0	0	item_attackertakesdamage
79	9	0	100	0	item_goldbonus
80	8	0	100	0	item_magicbonus
81	7	0	0	0	item_knockback
82	9	0	20	0	item_timeduration
83	3	3	0	0	item_addclassskills
84	0	0	0	0	unsentparam1
85	9	0	50	0	item_addexperience
86	7	0	0	0	item_healafterkill
87	7	0	0	0	item_reducedprices
88	1	0	0	0	item_doubleherbduration
89	4	0	4	0	item_lightradius
90	24	0	0	0	item_lightcolor
91	8	0	100	0	item_req_percent
